source_label,canonical_ethnicity_id
Total,1
All,1
New Zealand Total,1
Maori,2
Māori,2
Māori (total response),2
NZ Maori,2
NZ Māori,2
New Zealand Maori,2
New Zealand Māori,2
Maori (total response),2
Māori (total response),2
Pacific,3
Pacific peoples,3
Pacific Peoples,3
Pacific People,3
Pacific (total response),3
Asian,4
Asian peoples,4
Asian Peoples,4
Asian (total response),4
European/Other,5
European or Other,5
NZ European/Other,5
European and Other,5
NZEO,5
European,5
NZ European,5
Other European,5
MELAA,6
Middle Eastern/Latin American/African,6
Other,7
Other ethnicity,7
Other ethnicities,7
